Year,EventBaseCode,Count
2019,103,145
2020,042,258060
2020,083,3254
2020,136,68
2019,063,3019
2016,128,5234
2018,061,67124
2018,063,3708
2019,153,340
2019,---,1
2020,024,734
2016,112,114304
2015,052,3907
2015,017,17120
2017,145,2138
2018,193,40143
2018,014,24657
2015,034,326
2019,053,1503
2020,174,6781
2020,074,315
2020,062,5193
2015,111,70400
2015,114,10313
2017,100,48107
2017,021,7737
2015,125,6331
2018,183,1324
2015,144,305
2015,126,2
2020,154,4917
2019,114,12941
2015,080,37796
2017,020,240549
2015,154,6937
2019,105,2005
2020,046,85330
2019,164,8144
2016,161,8398
2015,061,38805
2017,163,27029
2017,082,518
2017,106,310
2018,139,1125
2020,050,39584
2020,131,2255
2019,073,9166
2020,203,117
2019,039,1131
2016,087,25624
2016,100,42165
2015,050,79156
2017,172,64076
2017,033,12877
2017,025,7885
2017,137,76
2018,056,888
2018,107,54
2015,151,622
2019,101,2243
2019,203,270
2016,026,12937
2016,201,123
2018,127,1755
2019,013,95428
2019,030,82825
2016,139,913
2016,170,903
2017,039,859
2018,201,71
2020,057,56609
2016,186,7035
2016,191,1690
2016,086,3002
2017,051,257406
2017,180,22722
2017,136,67
2018,125,8543
2017,116,21
2015,165,9
2020,026,4564
2020,186,7294
2020,103,53
2016,114,14718
2016,085,5156
2016,052,4419
2017,083,7062
2018,081,5823
2018,122,1132
2015,055,3675
2019,092,241
2019,132,50
2019,113,1336
2016,115,2556
2017,144,299
2015,074,547
2016,102,51
2018,015,15531
2020,010,179396
2020,072,6797
2019,042,375407
2020,092,268
2019,134,537
2015,192,14492
2016,036,232829
2015,020,175374
2015,133,568
2018,030,92520
2018,128,6282
2015,191,1151
2019,137,67
2019,061,52650
2019,017,16532
2016,010,338378
2016,044,9291
2017,127,2140
2015,128,4580
2017,153,566
2017,034,109
2018,175,1045
2015,194,4592
2015,131,2401
2019,106,370
2019,121,230
2020,127,881
2019,141,18330
2016,020,242521
2016,131,3709
2015,072,15901
2018,020,210946
2018,043,392635
2018,040,318103
2018,131,6133
2018,022,4517
2018,185,456
2019,126,6
2020,130,32272
2020,190,101981
2020,164,2298
2019,045,7606
2019,104,1673
2019,100,39928
2019,025,6344
2016,017,21537
2017,013,122112
2017,191,2085
2016,107,52
2020,019,418
2019,163,26597
2019,193,43266
2019,055,2992
2016,014,27256
2017,019,972
2017,123,351
2018,021,5130
2018,138,18003
2018,143,1142
2017,184,2
2020,060,32749
2019,112,111955
2020,056,387
2020,053,1084
2020,129,1698
2019,075,8116
2016,120,78080
2016,081,7123
2016,025,7406
2016,091,629
2015,090,56614
2017,071,46054
2017,045,8476
2017,202,957
2018,073,9648
2018,180,18644
2019,024,1504
2019,102,74
2020,051,137350
2019,111,83798
2020,018,3092
2020,063,1482
2019,138,14090
2016,040,334177
2017,120,84022
2017,084,57792
2019,170,1312
2020,086,784
2020,052,1916
2019,036,175858
2019,018,4361
2016,190,197682
2016,092,384
2016,142,391
2017,052,4151
2017,027,2566
2017,064,1978
2016,103,113
2018,182,13625
2018,054,7923
2015,142,574
2020,023,4689
2020,144,235
2019,035,11756
2016,041,16628
2015,175,463
2017,017,19315
2017,170,1134
2015,170,627
2018,112,116645
2018,080,44802
2020,080,28292
2020,192,9717
2020,091,320
2019,014,21879
2019,033,10022
2016,127,1818
2015,041,13786
2018,010,295182
2018,173,118597
2018,057,71620
2015,102,82
2020,153,317
2020,116,3
2016,154,8898
2015,051,204738
2017,193,53070
2017,105,1544
2017,142,374
2018,102,63
2015,166,625
2020,111,55132
2020,134,340
2016,124,4522
2016,160,22355
2016,032,4288
2017,061,54572
2017,011,7678
2017,152,640
2017,024,1660
2018,105,3015
2018,082,469
2015,122,1336
2019,074,513
2020,054,2723
2016,090,68943
2016,034,140
2017,018,6447
2015,139,692
2018,051,224106
2018,050,75894
2018,163,32054
2019,056,613
2018,116,12
2020,194,9469
2019,040,274766
2020,038,97
2016,042,485861
2016,027,1708
2016,063,2457
2015,087,18091
2017,092,389
2019,034,98
2020,016,6165
2020,181,3116
2019,021,9887
2019,085,4273
2019,127,1755
2016,182,15779
2016,015,15639
2015,070,46110
2018,164,7526
2018,092,216
2015,137,23
2015,132,59
2020,087,23768
2019,062,6711
2019,192,16739
2020,107,15
2016,140,1425
2017,044,7384
2017,085,5528
2018,142,208
2019,144,244
2020,061,29082
2020,121,165
2016,183,3845
2015,014,19044
2018,026,16499
2018,023,9244
2018,101,2286
2018,113,1647
2018,115,2303
