Year,QuadClass,Count
2018,4,537293
2017,3,619996
2020,4,353513
2019,1,2595417
2018,3,560829
2015,3,407486
2019,3,497805
2017,1,3205334
2017,2,499071
2020,1,1656240
2016,3,579363
2018,2,484528
2015,1,2592634
2020,2,284616
2016,2,490838
2019,2,429557
2019,4,503911
2017,4,636240
2015,2,392899
2020,3,331437
2016,1,3261716
2016,4,612296
2018,1,2892161
2015,4,455791
