Year,EventBaseCode,Count
2015,184,1
2019,130,11801
2017,131,1296
2017,145,619
2018,011,6650
2018,202,360
2015,122,419
2019,074,153
2019,062,1409
2020,013,53523
2019,032,886
2017,114,8585
2016,031,7564
2015,012,21989
2018,032,1043
2017,106,22
2018,116,59
2020,015,6628
2019,044,1275
2020,054,187
2020,150,281
2020,102,34
2019,091,553
2017,042,153246
2017,154,1434
2016,090,51853
2016,051,166258
2017,074,245
2017,195,1140
2016,016,7430
2018,102,26
2019,170,277
2019,173,74172
2020,019,171
2019,140,912
2019,139,459
2017,181,2018
2016,075,1045
2016,039,121
2018,061,3716
2018,025,2653
2019,116,33
2019,153,127
2020,056,238
2019,120,27247
2019,073,5001
2019,016,5498
2016,017,10720
2017,162,432
2017,183,409
2015,173,71378
2015,016,5501
2015,193,45337
2018,142,65
2015,075,813
2015,102,30
2015,092,56
2017,132,7
2019,151,223
2020,196,1
2019,036,56043
2019,163,1682
2017,012,29266
2017,053,1042
2017,139,501
2017,121,109
2015,021,3132
2018,022,1956
2018,012,23588
2018,192,5133
2018,063,142
2018,194,627
2017,116,104
2017,163,2413
2017,192,6164
2017,125,3279
2019,113,425
2020,051,93472
2020,141,17120
2020,140,2046
2020,085,117
2019,186,2461
2019,083,4849
2019,026,3730
2017,122,534
2016,124,3441
2018,086,353
2015,024,695
2019,112,44950
2020,170,207
2016,192,7498
2015,087,4443
2017,103,50
2018,040,107869
2018,141,9511
2015,026,4125
2015,055,2237
2015,061,3337
2019,106,47
2020,103,13
2019,022,1776
2016,024,1626
2016,105,679
2016,019,247
2015,113,448
2018,020,111952
2018,035,3465
2018,085,289
2019,100,14638
2017,041,4173
2015,071,28394
2017,094,15
2020,046,41880
2020,124,3144
2017,182,9119
2016,111,45448
2016,055,3443
2016,194,806
2016,143,575
2015,110,29015
2020,057,9950
2020,154,1152
2019,040,97303
2017,075,1439
2017,150,599
2016,181,2296
2016,086,327
2015,060,20720
2015,174,1977
2018,084,28131
2015,171,2944
2020,022,1524
2019,121,88
2019,127,328
2017,023,5348
2017,082,282
2016,100,21531
2015,080,13852
2018,043,127751
2018,015,11550
2018,062,1598
2018,110,33711
2016,094,47
2020,020,107878
2020,032,1230
2020,024,1170
2020,191,553
2020,152,165
2019,023,4084
2017,071,33445
2017,123,216
2016,133,484
2016,061,4355
2018,010,137113
2018,101,1453
2019,195,627
2019,162,482
2020,084,24080
2020,171,2765
2019,011,5879
2019,014,14672
2017,171,4241
2017,034,173
2016,151,380
2018,046,54784
2018,074,213
2018,038,81
2015,170,336
2019,051,97415
2019,114,7028
2020,203,34
2017,043,141315
2017,046,56832
2016,064,1113
2016,121,271
2018,174,2241
2018,131,1297
2015,054,569
2015,139,293
2015,094,26
2020,090,32329
2020,011,4891
2020,037,380
2019,035,3057
2019,175,293
2016,070,45282
