Year,QuadClass,Count
2018,4,270998
2019,3,194306
2015,3,195956
2015,1,1002374
2020,4,199899
2019,1,974903
2018,3,227095
2015,2,192047
2017,3,259606
2017,4,287800
2020,2,173826
2016,4,342128
2020,1,897626
2016,3,307483
2018,2,219144
2020,3,194404
2018,1,1091480
2016,2,270236
2015,4,238465
2016,1,1429801
2019,2,192196
2017,1,1208270
2017,2,238466
2019,4,237193
