,MonthYear,Count,Actor2CountryCode
0,202004,2439,
1,202005,16,KOR
2,202005,6,CUB
3,202007,8,KGZ
4,201906,602,RUS
5,202006,2,MMR
6,201908,115,SYR
7,202009,3,CAN
8,201608,3602,
9,201608,36,WST
10,201707,178,TUR
11,201702,5,SWE
12,201702,13,AUS
13,201703,53,LBY
14,201703,10,KOR
15,201703,183,EGY
16,201708,2,NLD
17,201708,45,DEU
18,201708,1,MEX
19,201703,2,ARG
20,201610,309,UKR
21,201707,4,KGZ
22,201612,1057,RUS
23,201509,83,TUR
24,201611,6,MLI
25,201610,3,IRL
26,201611,5,GMB
27,201709,8,ESP
28,201709,8,OMN
29,201709,1,GHA
30,201709,6,NOR
31,201801,22,CAN
32,201712,3098,
33,201710,169,UKR
34,201504,509,IRN
35,201602,153,BLR
36,201604,65,ISR
37,201601,85,EGY
38,201508,22,WST
39,201711,4,CMR
40,201711,7,HUN
41,201902,66,BLR
42,201502,15,CHE
43,201504,4,NLD
44,201512,4,AUS
45,201511,24,LBN
46,201812,164,CHN
47,201812,137,VEN
48,201904,5,CAN
49,201904,10,SAU
50,201805,3,LVA
51,201907,29,MDA
52,201601,4,BRA
53,201509,1,ETH
54,201802,4,VNM
55,201708,15,QAT
56,201807,23,KOR
57,201807,4,PHL
58,201506,10,PSE
59,201810,27,MDA
60,201507,2,IDN
61,201911,156,FRA
62,201705,13,MKD
63,201905,696,RUS
64,201901,14,SDN
65,201901,11,AFR
66,201901,2,NIC
67,202012,5,KOR
68,201902,3,CAF
69,201909,6,PAK
70,201511,2,YEM
71,202012,9,LBY
72,201809,67,BLR
73,201809,10,TJK
74,201509,3,DNK
75,201809,8,ECU
76,201809,2,CAN
77,201905,7,GRC
78,201812,5,PHL
79,201711,1,NMR
80,201811,3,DNK
81,201905,2,MOZ
82,201911,2,QAT
83,202012,6,DZA
84,202012,1,MLT
85,201910,4,IND
86,201605,3,ARG
87,201810,1,ZAF
88,201607,5,KGZ
89,202001,2,MUS
90,201912,2,IND
91,202002,4,GRC
92,202003,7,POL
93,201809,2,SGP
94,201605,3,DZA
95,201906,10,COL
96,201711,1,KHM
97,201907,1,KEN
98,201801,4,PRT
99,201801,1,SGP
100,201801,1,GHA
101,202010,5,ESP
102,201808,1,ZAF
103,202010,1,ALB
104,202010,1,PER
105,201912,1,SEA
106,202003,366,SYR
107,202003,12,VEN
108,202005,2,GNB
109,202005,8,SRB
110,202007,58,FRA
111,202006,44,BLR
112,201906,15,AUT
113,201908,2,AUS
114,201611,356,SYR
115,201508,339,UKR
116,201608,735,TUR
117,201702,3,SDN
118,201611,15,CYP
119,201611,6,TKM
120,201703,111,GBR
121,201703,4,CHL
122,201708,3,CYP
123,201706,3,UGA
124,201610,9,BOL
125,201705,9,BRA
126,201610,41,IRQ
127,201609,340,UKR
128,201708,6,AZE
129,201612,34,VEN
130,201611,1,URY
