,MonthYear,Count,SumGoldsteinScale,Actor2CountryCode
3385,201906,5,22.4,DNK
3386,201906,1,4.0,JPN
3387,201912,15,60.0,TUR
3388,201701,6,27.599999999999998,AFR
3389,201606,3,15.600000000000001,AFR
3390,201910,5,20.0,IDN
3391,202003,2,8.0,AUT
3392,201604,1,4.0,PRK
3393,202012,1,4.0,NLD
3394,202004,2,8.0,IRL
3395,201905,3,12.0,MEX
3396,201905,2,8.0,KAZ
3397,201705,2,8.0,NMR
3398,202004,3,15.600000000000001,NOR
3399,202005,426,1842.2999999999997,
3400,202006,2,8.0,SDN
3401,201611,5,32.0,IRN
3402,201703,39,156.5,ITA
3403,201709,957,3992.8999999999996,
3404,201805,135,561.4,USA
3405,201712,51,216.0,BEL
3406,201510,903,3820.6999999999953,
3407,201506,15,62.400000000000006,SVK
3408,201702,2,8.0,LUX
3409,201710,12,49.0,ESP
3410,201507,2,8.0,SYR
3411,201503,54,241.2,RUS
3412,201709,4,19.6,PRT
3413,201704,1,4.0,IRQ
3414,201503,7,28.0,ARM
3415,201502,25,100.0,USA
3416,201609,18,72.0,BLR
3417,201605,23,95.6,NOR
3418,201609,3,21.0,ISL
3419,201506,5,20.0,BRA
3420,201505,1,5.2,AFR
3421,201805,7,28.0,AZE
3422,201707,6,28.8,NOR
3423,201701,4,16.0,MDA
3424,201903,9,39.0,ITA
3425,201809,133,571.4,POL
3426,201512,1,4.0,CAN
3427,201601,1,4.0,CAN
3428,201806,25,100.0,CZE
3429,201810,1,4.0,NGA
3430,201906,73,307.0,UKR
3431,201811,1,4.0,KWT
3432,201802,5,22.4,AUS
3433,202012,29,116.0,GBR
3434,201903,17,70.4,BLR
3435,201912,2,8.0,NZL
3436,202002,52,210.39999999999998,FRA
3437,201603,1,4.0,VAT
3438,201911,2,8.0,TWN
3439,201601,2,8.0,AUT
3440,202002,12,49.2,LTU
3441,201910,1,4.0,ARG
3442,202001,3,12.0,TUR
3443,201811,2,8.0,CHE
3444,201606,11,44.0,IRL
3445,202002,1,4.0,COG
3446,202002,1,4.0,CUB
3447,201905,5,20.0,COL
3448,201812,2,10.4,PAK
3449,201502,1,4.0,IND
3450,202005,11,44.0,LTU
3451,202007,11,44.0,LVA
3452,201908,236,950.0,USA
3453,202008,3,12.0,ESP
3454,201701,45,189.0,EUR
3455,201711,8,32.0,IRL
3456,201705,841,3531.299999999999,
3457,201610,2,8.0,AUT
3458,201803,11,44.0,LVA
3459,201803,5,32.0,NOR
3460,201803,7,28.0,MEX
3461,201710,7,28.0,LVA
3462,201710,36,146.4,USA
3463,201802,11,44.0,AUT
3464,201705,73,295.6,FRA
3465,201507,63,284.79999999999995,USA
3466,201805,4,17.2,BRA
3467,201509,18,78.00000000000001,IRN
3468,201807,16,70.0,BEL
3469,201505,4,16.0,DNK
3470,201710,6,24.0,CHN
3471,201902,186,780.0000000000001,USA
3472,201902,20,81.2,CZE
3473,201506,3,13.5,ALB
3474,201610,11,45.2,SEN
3475,201511,5,21.2,ITA
3476,201810,63,258.0,UKR
3477,201702,4,16.0,HRV
3478,201507,1,4.0,TUN
3479,201812,28,116.4,CZE
3480,201505,17,68.0,WST
3481,201606,6,24.0,HUN
3482,201606,12,49.0,SWE
3483,201509,3,12.0,BGD
3484,201808,28,112.0,DEU
3485,201808,2,8.0,BEL
3486,201504,9,36.0,IRL
3487,201709,3,12.0,SAU
3488,201612,2,10.4,SRB
3489,201607,7,28.0,TKM
3490,201811,5,20.0,VAT
3491,201709,1,4.0,MDV
3492,201906,8,33.2,IRL
3493,201805,8,32.0,BGR
3494,202001,13,54.4,BLR
3495,201902,5,20.0,SAU
3496,201910,87,369.0,POL
3497,201808,2,8.0,QAT
3498,201507,2,8.0,MDA
3499,201912,4,18.0,GRC
3500,202003,12,48.0,HUN
3501,202002,1,4.0,IRL
3502,201809,3,12.0,KOR
3503,201911,6,24.5,CZE
3504,201901,4,16.0,ARM
3505,201603,1,4.0,SRB
3506,201911,1,4.0,VNM
3507,201502,1,4.0,COL
3508,201903,1,5.2,TUR
3509,202009,17,74.0,EUR
3510,201611,6,24.0,LVA
3511,201611,14,68.3,ISR
3512,201707,1584,6691.200000000002,
3513,201704,12,58.800000000000004,NOR
3514,201706,1,4.0,BTN
3515,201803,2,8.0,IRN
3516,201612,4,18.4,NGA
3517,201511,4,16.0,CHL
3518,201710,20,80.0,ARM
3519,201503,11,44.0,NOR
3520,201510,2,8.0,SAU
3521,201610,7,28.0,NLD
3522,201610,3,13.2,JOR
3523,201705,11,47.6,CZE
3524,201509,4,20.4,CHE
3525,201708,1,4.0,AUS
3526,201605,19,76.0,HUN
3527,201503,14,56.0,TUR
3528,201504,5,20.0,NPL
3529,201810,4,18.4,CHL
3530,201603,14,59.6,SVK
3531,201612,6,26.4,SVK
3532,201804,8,39.0,BGR
3533,201805,1,4.0,SYR
3534,201809,36,146.4,UKR
3535,201905,104,439.40000000000003,POL
3536,201812,3,12.0,AGO
3537,201805,18,72.0,HUN
3538,201806,1,4.0,IRN
3539,201912,648,2777.8999999999996,
3540,201901,3,12.0,ARG
3541,201901,10,43.6,NOR
3542,201901,15,62.9,LTU
3543,201805,6,24.0,PAK
3544,201512,4,16.0,LUX
3545,202010,7,28.0,EST
3546,202010,2,10.4,VAT
3547,201503,2,8.0,BRA
3548,201902,3,12.0,BHR
3549,202003,2,8.0,GRC
3550,202002,2,9.2,SWE
3551,201706,2,8.0,AUS
3552,201911,4,16.0,CHE
3553,201806,5,20.0,EST
3554,202002,4,16.0,AUS
3555,201809,4,22.0,DNK
3556,201811,4,16.0,ETH
3557,201806,16,64.0,LVA
3558,201601,1,4.0,NGA
3559,202012,1,4.0,HRV
3560,201707,1,4.0,KOR
3561,202001,2,8.0,CZE
3562,202002,1,5.2,CAN
3563,202004,1,4.0,DMA
3564,202005,2,8.0,LUX
3565,202007,9,36.0,GRC
3566,202006,17,68.0,HRV
3567,202007,2,8.0,NLD
3568,201702,17,70.4,FRA
3569,201709,30,121.2,HUN
3570,201709,2,10.4,LBY
3571,201612,6,24.0,SWE
3572,201708,18,72.0,WST
3573,201804,9,37.0,CZE
3574,201711,11,46.4,LTU
3575,201705,15,63.6,MEX
3576,201507,2,8.0,DNK
3577,201705,2,8.0,MCO
3578,201503,15,60.0,DNK
3579,201510,44,184.99999999999997,BGR
3580,201505,20,90.80000000000001,SYR
3581,201609,208,848.8,POL
3582,201807,15,66.0,GBR
3583,201603,1,4.0,SYR
3584,201612,3,12.0,TUN
3585,201503,1,4.0,DOM
3586,201608,1,4.0,PRT
3587,201707,3,12.0,MEX
3588,201902,29,116.0,BEL
3589,201708,3,12.0,HRV
3590,201509,2,8.0,BDI
3591,201601,3,12.0,CHL
3592,201502,13,67.60000000000001,JPN
3593,201511,3,12.0,SAU
3594,201709,2,8.0,ARG
3595,201809,39,160.8,EUR
3596,201603,4,16.0,CHE
3597,201902,3,12.0,VEN
3598,202010,3,12.0,FRA
3599,201807,23,95.0,ISR
3600,201807,8,33.2,CHN
3601,201804,2,10.4,CHE
3602,201504,1,4.0,MKD
3603,201611,2,8.0,TUR
3604,201811,2,8.0,LVA
3605,202002,3,15.600000000000001,EST
3606,201612,3,15.600000000000001,SGP
3607,201912,1,4.0,CUB
3608,201806,1,4.0,SYR
3609,201905,5,20.0,SWE
3610,202006,6,25.0,HUN
3611,202008,14,56.0,THA
3612,201611,12,48.0,SWE
3613,201611,2,8.0,AUT
3614,201701,3,12.0,LBY
3615,201704,1,4.0,IRN
3616,201706,37,157.60000000000002,CHN
3617,201612,2,8.0,DNK
3618,201805,14,56.0,DNK
3619,201804,30,120.0,GBR
3620,201804,12,48.0,TUR
3621,201801,20,80.0,GBR
3622,201802,1,5.2,NOR
3623,201506,2,8.0,SYR
3624,201804,5,20.0,ITA
3625,201601,2,8.0,SWE
3626,201508,2,8.0,UZB
3627,201609,58,232.0,USA
3628,201707,14,56.0,BGR
3629,201504,3,12.0,MOZ
3630,201804,2,8.0,KOR
3631,201806,878,3814.7,
3632,201805,7,28.0,WST
3633,201901,89,359.0,ITA
3634,201808,3,12.0,BLR
3635,201512,1,4.0,NMR
3636,201802,2,8.0,SGP
3637,201911,4,16.0,ITA
3638,201612,2,8.0,PRT
3639,201904,12,51.0,ITA
3640,201906,4,18.4,ISR
3641,201812,12,48.0,ITA
3642,202002,27,108.0,EUR
3643,201710,4,16.0,PRK
3644,201606,24,96.0,IDN
3645,201909,1,4.0,MDV
3646,201909,1,4.0,COL
3647,202002,2,8.0,BGR
3648,202001,1,4.0,ZAF
3649,201607,4,16.0,KOR
3650,201503,2,10.4,MNG
3651,201711,1,5.2,PAK
3652,201903,3,12.0,MEX
3653,201607,1,4.0,NMR
3654,201701,1,5.0,IND
3655,201902,2,8.0,NMR
3656,201808,2,8.0,GUY
3657,201909,2,8.0,KAZ
3658,201601,1,4.0,TUN
3659,202003,517,2189.2,
3660,202002,511,2177.2999999999997,
3661,201602,104,439.29999961853025,DEU
3662,201803,47,188.0,TUR
3663,201706,1,4.0,PRY
3664,201709,58,235.9,USA
3665,201610,219,937.5000000000001,POL
3666,201610,9,36.0,LUX
3667,201601,864,3616.0999998092598,
3668,201605,148,601.4,USA
3669,201708,5,20.0,PAN
3670,201804,136,558.2,POL
3671,201703,37,148.0,MKD
3672,201708,25,108.0,GBR
3673,201505,4,16.0,AGO
3674,201503,23,98.00000000000001,LTU
3675,201601,59,236.0,BEL
3676,201502,12,49.2,BLR
3677,201507,56,230.5,EUR
3678,201509,1,5.2,IND
3679,201708,3,12.0,BRA
3680,201504,1,4.0,TUR
3681,201603,13,61.60000000000001,AFR
3682,201506,18,76.60000000000001,ITA
3683,201509,3,13.2,LBN
3684,201902,862,3619.0999999999995,
3685,201605,3,12.0,IRL
3686,201811,826,3491.2999999999997,
3687,201811,4,16.0,WST
3688,201903,15,61.0,IRL
3689,201810,19,76.0,CHN
3690,201510,3,12.0,LAO
3691,201606,2,8.0,ARE
3692,201806,23,104.60000000000001,RUS
3693,201607,2,8.0,HRV
3694,201811,15,63.6,BLR
3695,201810,8,32.0,BLR
3696,202011,1,4.0,BHR
3697,201612,1,4.0,PSE
3698,201904,12,48.0,LVA
3699,201707,12,54.0,LTU
3700,201812,2,12.2,KAZ
3701,201607,6,24.0,ARM
3702,201701,5,22.4,EST
3703,201910,4,16.0,CHN
3704,201603,4,16.0,NZL
3705,202004,2,14.0,SWE
3706,201910,5,20.0,WST
3707,201604,2,8.0,LVA
3708,201605,2,10.4,ARM
3709,201806,9,36.0,BGR
3710,201503,1,4.0,MLT
3711,201607,1,4.0,ZMB
3712,202002,4,16.0,AZE
3713,201809,2,8.0,GRC
3714,201909,2,8.0,AFR
3715,202001,3,12.0,WST
3716,201905,2,8.0,BGR
3717,201902,2,8.0,ARG
3718,202003,23,92.0,RUS
3719,201704,19,79.4,CHN
3720,201611,131,537.8000000000001,USA
3721,201611,4,16.0,NOR
3722,201703,102,433.19999999999993,UKR
3723,201702,20,87.2,EGY
3724,201608,8,32.0,DNK
3725,201709,57,250.59999999999997,EUR
3726,201509,1239,5283.299999999987,
3727,201503,778,3289.099999999997,
3728,201804,23,94.4,RUS
3729,201801,17,68.0,PAN
3730,201804,7,28.0,CIV
3731,201503,1,4.0,HRV
3732,201510,11,46.4,TUR
3733,201709,2,8.0,SVK
3734,201507,3,12.0,ISR
3735,201811,15,60.0,BGR
3736,201510,1,4.0,GHA
3737,201603,7,28.0,CYP
3738,201909,18,75.2,HUN
3739,201610,7,29.0,SRB
3740,201610,1,4.0,PRT
3741,201905,11,44.0,HUN
3742,201812,6,28.8,NZL
3743,201502,2,14.0,BGR
3744,201609,3,12.0,BRA
3745,201807,17,70.0,HUN
3746,201703,5,20.0,NOR
3747,202011,26,105.5,EUR
3748,201903,4,20.8,QAT
3749,202012,2,8.0,LUX
3750,201906,7,31.6,NOR
3751,201707,2,8.0,IRQ
3752,201906,3,12.0,DOM
3753,202001,4,18.4,ITA
3754,201609,1,4.0,CHL
3755,201712,1,4.0,TUR
3756,201507,3,12.0,CAN
3757,201810,4,16.0,VAT
3758,201709,2,8.0,PAK
3759,201710,3,13.2,WST
3760,201806,5,20.0,IDN
3761,201503,1,4.0,NGA
3762,202005,21,84.0,RUS
3763,201906,164,702.3,POL
3764,202008,2,8.0,DOM
3765,201608,6,24.0,NLD
3766,201707,37,148.0,HUN
3767,201802,19,76.0,RUS
3768,201712,7,31.0,BLR
3769,201712,14,56.0,LUX
3770,201505,733,3057.4999999999977,
3771,201711,36,148.8,DEU
3772,201802,1,4.0,LVA
3773,201608,12,48.0,IRN
3774,201510,13,52.0,DEU
3775,201603,38,152.0,NLD
3776,201509,17,68.0,GBR
3777,201804,16,68.8,SYR
3778,201604,10,40.0,KAZ
3779,201512,40,164.8,LTU
3780,201503,8,32.0,CAN
3781,201709,6,27.599999999999998,NGA
3782,201904,47,189.2,UKR
3783,201511,7,28.0,CAN
3784,201711,3,12.5,AFG
3785,201605,9,38.400000000000006,SVK
3786,201512,1,4.0,IND
3787,201804,3,12.0,ALB
3788,201607,9,36.0,KWT
3789,201503,12,48.0,ISR
3790,201808,10,41.2,WST
3791,201711,2,8.0,TUN
3792,201605,1,4.0,AUT
3793,201612,1,4.0,PAK
3794,201806,1,4.0,AUS
3795,201607,36,156.0,CAN
3796,201810,6,25.5,MAR
3797,201603,2,8.0,SWE
3798,201804,3,12.0,AUS
3799,201508,1,4.0,SWE
3800,201612,3,15.600000000000001,MKD
3801,201912,14,56.0,CZE
3802,201903,4,20.8,TWN
3803,202012,1,4.0,IND
3804,202003,30,124.8,UKR
3805,202002,20,80.0,UKR
3806,201911,2,9.2,ESP
3807,201908,3,12.0,MCO
3808,201606,55,220.0,SRB
3809,201907,3,12.0,JPN
3810,201606,2,8.0,PSE
3811,201607,4,16.0,ARE
3812,201606,8,32.0,EST
3813,201512,1,5.2,CHE
3814,201607,1,4.0,PER
3815,201703,1,4.0,MEX
3816,202004,3,12.0,LTU
3817,202005,1,4.0,FIN
3818,202008,14,56.0,CHN
3819,201704,33,138.6,DEU
3820,201703,12,48.0,ISR
3821,201702,924,3934.799999999999,
3822,201611,5,20.0,CHN
3823,201704,53,218.00000000000003,MEX
3824,201711,292,1204.2,UKR
3825,201612,15,65.1,BLR
3826,201706,1,4.0,IND
3827,201712,117,492.09999999999997,UKR
3828,201506,803,3372.499999999998,
3829,201507,27,109.2,DEU
3830,201708,4,16.0,NOR
3831,201708,36,149.0,EUR
3832,201509,163,668.1000000000001,POL
3833,201601,123,498.4,EUR
3834,201508,27,108.0,CAN
3835,201711,3,12.0,AUT
3836,201507,33,139.8,GRC
3837,201601,70,280.0,WST
3838,201804,11,44.0,PAN
3839,201605,118,481.0,WST
3840,201502,9,36.0,GBR
3841,201805,5,20.0,PAN
3842,201810,6,24.0,WST
3843,201712,1,4.0,NLD
3844,201505,8,32.0,CHL
3845,201504,10,42.4,LTU
3846,201609,3,12.0,LBN
3847,201506,1,4.0,PER
3848,201502,2,8.0,ISR
3849,201808,1,4.0,CAN
3850,202010,10,40.0,BGR
3851,201807,3,12.0,SGP
3852,202012,10,40.0,ESP
3853,201802,11,44.0,GRC
3854,201802,2,8.0,BLR
3855,201607,2,8.0,DNK
3856,201701,4,16.0,ZMB
3857,201907,3,12.0,UZB
3858,202001,1,5.0,LUX
3859,201910,12,48.0,BLR
3860,202012,1,4.0,VEN
3861,201806,1,5.2,ARM
3862,202001,1,4.0,NLD
3863,201911,1,4.0,ARE
3864,201606,3,12.0,ARM
3865,201806,3,12.0,SEN
3866,202010,4,16.0,SVK
3867,201605,1,5.2,MDA
3868,201904,2,8.0,FIN
3869,202001,1,4.0,CAN
3870,201906,1,4.0,CHL
3871,201711,1,4.0,FIN
3872,202005,7,28.0,GBR
3873,201611,4,22.0,BGR
3874,201707,318,1279.2,DEU
3875,201610,14,56.0,GBR
3876,201801,10,43.6,ITA
3877,201705,4,16.0,ESP
3878,201507,91,387.8999999999999,POL
3879,201705,27,108.0,BEL
3880,201705,32,137.0,HUN
3881,201701,8,32.0,ESP
3882,201602,4,16.0,FIN
3883,201509,11,45.0,WST
3884,201702,4,16.0,PAN
3885,201710,10,40.0,LUX
3886,201902,5,20.0,SWE
3887,201505,4,16.0,HUN
3888,201605,2,8.0,LUX
3889,201705,28,112.0,GBR
3890,201602,4,16.0,EGY
3891,201909,15,60.0,IRQ
3892,201903,23,102.80000000000001,DEU
3893,201504,3,12.0,QAT
3894,201502,3,12.0,CZE
3895,201607,40,172.00000000000003,AFG
3896,201812,21,93.6,LTU
3897,201512,8,32.0,QAT
3898,201606,225,937.8,POL
3899,201611,7,28.0,SRB
3900,201602,2,8.0,KAZ
3901,201806,21,84.0,LTU
3902,201810,1,5.2,ARE
3903,201712,4,18.4,CHN
3904,201604,3,14.4,NOR
3905,201803,17,74.0,DNK
3906,202010,5,20.0,ITA
3907,201604,5,20.0,ISL
3908,201509,1,4.0,KOR
3909,201912,2,8.0,AUT
3910,202003,4,16.0,IND
3911,202010,5,20.0,SWE
3912,201609,2,8.0,MYS
3913,201903,2,10.4,BHR
