,MonthYear,Count,Actor2CountryCode
0,202006,4,TUR
1,201704,1,BOL
2,201612,21,USA
3,201805,13,RUS
4,201802,99,
5,201510,2,UKR
6,201507,2,TUR
7,201504,13,RUS
8,201510,5,BLR
9,201602,7,MEX
10,201711,3,KOR
11,201611,1,DEU
12,201604,1,BRA
13,201709,3,ECU
14,201703,1,PAK
15,201502,1,HUN
16,201804,3,PER
17,201807,2,SRB
18,201612,1,NLD
19,202005,2,FRA
20,202008,3,UKR
21,201708,3,SRB
22,201801,6,USA
23,201512,16,RUS
24,201805,4,FRA
25,201612,1,BEL
26,201601,8,UKR
27,201705,3,ARM
28,201610,1,ESP
29,201802,1,QAT
30,201604,3,WST
31,201601,1,KHM
32,201602,1,BRA
33,201601,1,BLR
34,201503,2,EUR
35,201810,2,UZB
36,201808,4,ISR
37,201905,7,USA
38,201903,1,PRK
39,201912,2,SWE
40,201912,1,ZAF
41,201904,2,AGO
42,201906,1,ARM
43,202011,1,KGZ
44,202009,1,CYP
45,201611,1,CUB
46,201707,31,RUS
47,201610,7,EUR
48,201707,1,DZA
49,201509,25,SYR
50,201504,3,ARG
51,201709,8,SYR
52,201509,4,PSE
53,201604,3,FRA
54,201805,1,TUR
55,201605,1,KGZ
56,201504,1,PSE
57,201712,1,VEN
58,201807,4,JPN
59,201807,1,BLR
60,201901,3,EUR
61,201904,1,JOR
62,202002,7,TUR
63,202005,5,CHN
64,201702,1,VEN
65,201702,3,BLR
66,201702,1,ISL
67,201508,4,SYR
68,201510,4,GBR
69,201711,1,EUR
70,201705,1,SAU
71,201604,1,SEA
72,201502,2,ITA
73,201805,2,ISR
74,201605,2,IRN
75,201604,1,ARM
76,201607,1,JPN
77,201608,1,CZE
78,201606,4,IRN
79,201904,117,
80,201906,4,SAU
81,201812,4,QAT
82,201912,1,JPN
83,201812,1,CAN
84,201911,1,GRC
85,202004,2,CHN
86,202007,7,RUS
87,201703,1,FIN
88,201701,1,DEU
89,201612,1,YEM
90,201709,17,CHN
91,201804,1,IDN
92,201508,8,IRN
93,201805,4,UKR
94,201709,2,VEN
95,201709,1,ITA
96,201607,1,VEN
97,201504,1,PAK
98,201608,1,AFG
99,201712,2,KOR
100,201811,11,FRA
101,201901,2,BEL
102,201904,1,FRA
103,201904,1,BLR
104,202009,2,KAZ
105,201703,1,CHN
106,201610,18,SYR
107,201706,1,AFG
108,201701,2,WST
109,201705,5,VEN
110,201612,2,FRA
111,201712,6,SYR
112,201510,36,SYR
113,201804,5,UKR
114,201509,15,RUS
115,201702,1,CHN
116,201701,3,FRA
117,201505,3,DEU
118,201702,1,NGA
119,201804,1,EUR
120,201804,1,FRA
121,201602,1,AFR
122,201708,2,FRA
123,201605,1,EUR
124,201903,2,ESP
125,201906,2,SYR
126,202009,1,ARM
127,202005,4,UKR
128,201704,17,RUS
129,201608,9,UKR
130,201801,2,TUR
131,201507,8,CHN
132,201605,10,GRC
133,201607,6,UKR
134,201512,1,FIN
135,201604,1,POL
136,201601,1,CUB
137,201707,2,LBY
138,201701,1,NIC
139,201601,1,LAO
140,201707,1,MDA
141,201601,1,LTU
142,201608,1,POL
143,201907,3,USA
144,201902,4,CHN
145,201911,1,FIN
146,201911,3,USA
147,201808,1,JOR
148,201910,2,SAU
149,201611,2,AUS
150,201511,1,PER
151,201703,3,FRA
152,201706,127,
153,201703,1,SWE
154,201804,6,USA
155,201605,89,
156,201505,12,USA
157,201511,1,DNK
158,201607,2,EUR
159,201509,2,FRA
160,201901,5,JPN
161,201902,2,DEU
162,201811,2,DOM
163,201906,1,KAZ
164,202001,1,IRN
165,201910,1,ARE
166,201912,3,NOR
167,201703,5,WST
168,201802,17,EGY
169,201803,12,SYR
170,201508,35,USA
171,201509,7,EUR
172,201804,1,MDA
173,201511,14,EGY
174,201702,3,USA
175,201506,4,TUR
176,201506,6,DEU
177,201710,1,EUR
178,201801,3,EUR
179,201504,2,CZE
180,201802,1,VEN
181,201808,8,SYR
182,201811,2,ARG
183,201903,5,USA
184,201903,7,UKR
185,201907,2,AFG
186,201812,4,TKM
187,202002,1,BLR
188,202010,1,JPN
189,202005,2,KOR
190,202004,105,
191,201703,2,LBY
192,201703,14,EGY
193,201707,3,TUR
194,201608,116,
195,201708,1,DEU
196,201610,15,UKR
197,201612,32,RUS
198,201611,2,MLI
199,201710,2,UKR
200,201712,143,
201,201703,1,ARG
202,201602,8,BLR
203,201504,7,IRN
204,201702,1,AUS
205,201511,1,LBN
206,201709,2,OMN
207,201708,1,QAT
208,201509,1,TUR
209,201601,2,EGY
210,201604,1,ISR
211,201608,2,WST
212,201905,24,RUS
213,201807,2,KOR
214,201908,1,SYR
215,201812,2,CHN
216,201906,16,RUS
217,201809,1,BLR
218,201902,1,CAF
219,201905,1,GRC
220,201904,1,CAN
221,202012,1,KOR
222,202010,1,ALB
223,201911,2,FRA
224,202003,1,POL
225,201703,1,EUR
226,201612,1,IRQ
227,201705,3,JPN
228,201805,4,PNG
229,201505,3,CHN
230,201601,1,AUS
231,201607,2,CHN
232,201508,5,FRA
233,201603,3,DEU
234,201802,6,TUR
235,201801,1,EST
236,201802,2,CHN
237,201804,2,NLD
238,201809,20,RUS
239,201809,1,MKD
240,201811,2,ITA
241,201906,10,AFG
242,201904,2,EGY
243,201909,3,USA
244,201905,1,DEU
245,201703,26,RUS
246,201610,1,MDA
247,201705,10,TUR
248,201710,118,
249,201712,13,RUS
250,201802,1,MDG
251,201509,1,ISR
252,201605,2,ITA
253,201508,1,EST
254,201605,2,FRA
255,201502,1,EUR
256,201710,1,TWN
257,201604,1,LTU
258,201808,6,USA
259,201910,135,
260,201910,6,SYR
261,201811,1,CUB
262,202008,1,CHN
263,201703,2,ISR
264,201611,5,CHN
265,201702,97,
266,201704,1,DEU
267,201704,1,MEX
268,201609,2,BOL
269,201802,5,BLR
270,201506,82,
271,201605,4,WST
272,201801,10,SYR
273,201507,4,GRC
274,201711,4,UKR
275,201612,2,BLR
276,201712,9,UKR
277,201507,3,DEU
278,201603,1,MDA
279,201502,1,GBR
280,201507,1,VEN
281,201604,1,MEX
282,201606,1,ARM
283,201504,1,KOR
284,201810,4,WST
285,201903,1,VEN
286,201812,1,AZE
287,201904,1,FIN
288,201910,2,BLR
289,202004,3,USA
290,202006,3,SRB
291,202008,11,RUS
292,201704,1,NGA
293,201510,21,USA
294,201702,1,HUN
295,201604,10,SYR
296,201608,1,KOR
297,201505,2,IRQ
298,201604,1,TZA
299,201503,1,PRK
300,201808,6,IRN
301,201811,17,RUS
302,201806,2,AUT
303,202012,3,UKR
304,202006,1,BLR
305,201703,2,GBR
306,201611,9,SYR
307,201608,19,TUR
308,201609,16,UKR
309,201705,3,KAZ
310,201805,1,MYS
311,201602,6,SAU
312,201508,14,UKR
313,201803,2,PRK
314,201610,1,IRQ
315,201703,1,PSE
316,201512,9,TUR
317,201803,3,UKR
318,201612,1,VEN
