,MonthYear,Count,SumNumMentions,Actor2CountryCode
2542,201712,5039,29648,
2543,201608,5827,32716,
2544,201709,13,59,ESP
2545,201504,1038,4560,IRN
2546,201612,2336,9329,RUS
2547,201703,93,499,LBY
2548,201703,372,2095,EGY
2549,201610,589,2913,UKR
2550,201708,112,408,DEU
2551,201502,50,162,CHE
2552,201601,169,649,EGY
2553,201604,162,632,ISR
2554,201509,190,678,TUR
2555,201703,27,100,KOR
2556,201703,4,30,ARG
2557,201705,43,150,MKD
2558,201711,11,54,HUN
2559,201711,4,20,CMR
2560,201905,6,10,MOZ
2561,201709,1,5,GHA
2562,201709,9,38,NOR
2563,201511,3,17,YEM
2564,201602,267,1476,BLR
2565,201511,47,197,LBN
2566,201908,7,11,NLD
2567,201902,131,601,BLR
2568,201710,325,1498,UKR
2569,201509,12,32,DNK
2570,201508,36,193,WST
2571,201807,9,25,PHL
2572,201504,8,32,NLD
2573,201512,7,36,AUS
2574,201810,4,10,ZAF
2575,201810,34,222,MDA
2576,201601,7,28,BRA
2577,201802,6,29,VNM
2578,201807,39,195,KOR
2579,201707,452,1705,TUR
2580,201707,12,48,KGZ
2581,201611,6,80,MLI
2582,201809,133,567,BLR
2583,201809,18,53,ECU
2584,201506,20,79,PSE
2585,201909,18,64,PAK
2586,201812,295,1334,CHN
2587,201811,10,34,DNK
2588,201911,298,1451,FRA
2589,201911,5,16,QAT
2590,202002,13,36,GRC
2591,201809,25,91,TJK
2592,201702,28,130,AUS
2593,201702,10,52,SWE
2594,202012,7,47,KOR
2595,202012,17,59,LBY
2596,201904,25,76,SAU
2597,201904,8,46,CAN
2598,201907,44,248,MDA
2599,201912,5,10,IND
2600,201812,7,32,PHL
2601,201812,261,1185,VEN
2602,201901,34,134,SDN
2603,201901,12,88,AFR
2604,201608,68,326,WST
2605,202003,26,98,POL
2606,201809,7,21,CAN
2607,201910,5,23,IND
2608,201905,15,74,GRC
2609,201509,3,10,ETH
2610,201610,10,33,IRL
2611,201507,4,20,IDN
2612,201911,2,2,SOM
2613,201711,2,8,KHM
2614,201708,40,154,QAT
2615,201708,5,22,NLD
2616,201708,1,10,MEX
2617,201805,5,27,LVA
