,MonthYear,Count,SumNumMentions,Actor2CountryCode
2053,201704,17,82,AFG
2054,201703,32,138,BLR
2055,201701,41,298,COL
2056,201708,104,395,CHN
2057,201610,927,4243,DEU
2058,201609,572,2544,FRA
2059,201703,6,18,HUN
2060,201708,13,59,LVA
2061,201609,62,315,CAN
2062,201610,4,6,CHL
2063,201709,700,3314,DEU
2064,201705,9,33,BGD
2065,201802,240,1207,GBR
2066,201706,3,9,NZL
2067,201611,4,24,MLT
2068,201803,14,63,LUX
2069,201803,7,65,IRL
2070,201701,2,7,MMR
2071,201805,24,190,VAT
2072,201705,5,16,SGP
2073,201801,1,4,ISL
2074,201802,8,48,AFG
2075,201503,64,250,EGY
2076,201505,2,4,MAR
2077,201601,95,334,SYR
2078,201506,258,1419,EUR
2079,201503,67,177,SAU
2080,201510,148,661,GRC
2081,201710,10,50,IRL
2082,201803,5,10,NMR
2083,201802,3,10,ECU
2084,201705,10,63,SWE
2085,201609,2,20,CMR
2086,201510,59,223,ITA
2087,201701,6,22,IRQ
2088,201806,50,190,TUR
2089,201802,4,22,PRT
2090,201805,2,2,PGS
2091,201801,6,20,ZWE
2092,201601,34,151,DNK
2093,201508,7,27,MCO
2094,201504,36,153,AUT
2095,201512,18,84,WST
2096,201507,11,92,AFR
2097,201507,4,32,PER
2098,201807,458,1982,RUS
2099,201601,28,141,MAR
2100,201603,5,15,TWN
2101,201904,28,113,BRA
2102,201904,9,48,AZE
2103,201502,15,74,AUS
2104,201607,8,19,PAK
2105,201606,2,2,LIE
2106,201606,2,10,SGP
2107,201604,12,74,NZL
2108,201508,3,14,ZAF
2109,201508,6,15,ARM
2110,201910,11,32,AUS
2111,201809,1,40,KWT
2112,201903,6,27,NGA
2113,201510,22,86,JPN
2114,201807,4,6,ARG
2115,201503,2,12,AIA
2116,201809,3,6,VAT
2117,201808,10,39,VNM
2118,202001,295,1216,GBR
2119,202002,19,68,CHE
2120,201602,5,30,MUS
2121,201602,3,6,SOM
2122,201908,2,7,NZL
2123,201807,34,132,MKD
2124,201808,9,24,FIN
2125,202001,560,2486,LBY
2126,202001,13,80,BRA
2127,202001,11,74,COG
2128,201512,2,2,MAR
2129,201903,9,41,JPN
2130,201604,1,2,CMR
2131,201502,2,10,VEN
2132,201503,2,40,OMN
2133,201810,60,235,EGY
2134,201906,13,49,AFR
2135,201909,2,16,MAR
2136,201808,7,20,HUN
2137,201509,1,10,BOL
2138,201809,1,4,VNM
2139,201810,2,5,TZA
2140,201810,12,56,AUT
2141,201806,7,64,TUN
2142,201808,2,4,TTO
2143,201502,1,2,ETH
2144,201712,2,10,LVA
2145,201903,3,12,ALB
2146,201812,1,2,ARM
2147,202003,1,10,BRA
2148,201905,6,14,JOR
2149,202005,2,5,TWN
2150,202004,4,28,CMR
2151,201607,3,26,VNM
2152,202004,4,19,PHL
2153,202005,45,185,CHE
2154,202005,1,10,TGO
2155,202007,15,87,CAN
2156,202006,7,27,SVK
2157,202008,149,608,USA
2158,202008,3,10,SRB
2159,202009,4,15,LBN
2160,201608,422,1720,FRA
2161,201703,163,976,TUN
2162,201708,7,22,LBY
2163,201708,6,36,CHL
2164,201707,23,105,WST
2165,201609,12,38,PRT
2166,201707,36,228,CHE
2167,201609,1,10,ETH
2168,201708,6,40,ZMB
2169,201706,3,8,BHS
2170,201803,1,10,WLF
2171,201705,7,36,NGA
2172,201608,8,13,PAK
2173,201701,6,16,HUN
2174,201705,8,36,IRQ
2175,201702,8,26,AZE
2176,201702,1,6,COD
2177,201702,1,6,VAT
2178,201512,59,334,AFG
2179,201603,219,980,TUR
2180,201803,1,5,UZB
2181,201710,6,68,IND
2182,201712,1,8,DZA
2183,201511,41,128,BEL
2184,201605,21,62,CHE
2185,201604,4,34,CHL
2186,201612,1,8,AGO
2187,201504,22,95,TUN
2188,201611,1,10,MWI
2189,201503,15,46,KAZ
2190,201505,6,20,KOR
2191,201607,19,52,BLR
2192,201607,3,10,MNG
2193,201904,20,106,BEL
2194,201508,4,20,PAN
2195,201503,1,10,COD
2196,201601,3,4,COL
2197,201812,24,72,IRN
2198,201606,343,1743,EUR
2199,201801,1,15,LUX
2200,201911,10,24,ISR
2201,201601,3,10,ARM
2202,201809,99,423,SAU
2203,201901,20,58,SYR
2204,201909,4,18,NMR
2205,201510,2,9,VAT
2206,201803,2,2,BWA
2207,201503,2,10,THA
2208,202012,29,135,TUR
2209,202012,3,12,YEM
2210,201601,2,6,EAF
2211,201512,2,16,ZAF
2212,202002,45,165,SDN
2213,201808,101,358,CHN
2214,201812,8,18,AUS
2215,201510,6,20,NAM
2216,201907,3,24,ARM
2217,201907,7,24,AUS
2218,202001,167,1041,EUR
2219,202001,581,2460,DEU
2220,202001,347,1327,FRA
2221,201509,2,11,TWN
2222,201904,2,3,ECU
2223,201810,20,212,IRL
2224,201503,2,5,ECU
2225,201608,4,8,ERI
2226,201908,24,73,CHE
2227,201604,1,10,VCT
2228,201603,2,20,PGS
2229,202002,2,4,KGZ
2230,201903,7,26,ARG
2231,201607,8,66,QAT
2232,201908,19,94,TUR
2233,201811,4,6,NMR
2234,201808,2,10,NPL
2235,202010,65,200,BLR
2236,202010,73,318,GBR
2237,201910,2,4,URY
2238,201905,4,10,BRB
2239,201904,1,10,LBN
2240,201908,1,2,HKG
2241,201606,3,10,MLT
2242,202010,6,40,ARM
2243,202003,12,35,JPN
2244,202008,9,42,PER
2245,201706,3484,22112,
2246,201611,22,75,AUS
2247,201704,3,30,GTM
2248,201703,270,1200,FRA
2249,201703,7,48,EST
2250,201708,5,15,FIN
2251,201708,2,6,BGD
2252,201703,20,51,SWE
2253,201707,5,30,FJI
2254,201609,4,6,PHL
2255,201705,10,36,NOR
2256,201605,3244,21733,
2257,201802,5,15,HUN
2258,201610,6,10,LBR
2259,201509,779,3592,FRA
2260,201804,924,3228,USA
2261,201605,20,69,AUS
2262,201612,1,10,TTO
2263,201712,6,58,HRV
2264,201704,4,22,PRT
2265,201801,12,82,AFR
2266,201801,6,22,IDN
2267,201805,10,66,ARM
2268,201510,27,105,SWE
2269,201604,437,2219,TUR
2270,201505,407,1707,USA
2271,201610,2,4,SLV
2272,201511,38,154,ISR
