,MonthYear,Count,Actor2CountryCode
0,201712,5,EUR
1,201904,1,FRA
2,201711,1,USA
3,201607,25,
4,201512,1,WST
5,201506,1,EUR
6,201602,7,
7,201802,1,EUR
8,201812,6,
9,201705,1,RUS
10,201710,8,
11,201910,4,
12,202004,2,
13,201608,4,
14,201707,1,LUX
15,201710,2,UKR
16,201712,10,
17,201906,1,RUS
18,201504,2,NLD
19,201911,4,
20,202001,4,
21,201707,1,GBR
22,201702,1,EUR
23,201608,1,RUS
24,201902,2,POL
25,201604,11,
26,202010,1,
27,202008,1,RUS
28,201801,1,EUR
29,201509,4,EUR
30,201508,2,USA
31,201609,12,
32,201804,4,
33,201809,1,IRN
34,201504,4,
35,201810,5,
36,201802,7,POL
37,201811,1,USA
38,201604,1,USA
39,201812,1,DEU
40,202007,2,
41,202008,1,
42,201609,1,MDA
43,201604,2,UKR
44,201803,2,DEU
45,201902,4,EUR
46,201507,1,ECU
47,201607,1,WST
48,201709,1,UKR
49,201707,2,DEU
50,201810,1,ARE
51,201606,1,POL
52,201804,1,GBR
53,201609,1,USA
54,201806,12,
55,201602,1,EUR
56,201910,1,USA
57,201609,2,SVK
58,201610,1,EUR
59,201712,1,ITA
60,201901,1,EUR
61,201609,2,GBR
62,201703,3,DEU
63,201505,4,POL
64,201602,1,USA
65,201705,1,USA
66,201906,1,FIN
67,201706,11,
68,201804,1,USA
69,201605,10,
70,201604,4,WST
71,201601,1,UKR
72,201801,1,USA
73,201811,1,AUT
74,201808,2,
75,201707,1,USA
76,201503,1,UKR
77,202012,1,HUN
78,201607,4,USA
79,201604,2,BGR
80,201811,1,ISR
81,201805,1,RUS
82,201802,9,
83,201602,1,MEX
84,201904,3,
85,201711,3,EUR
86,201608,1,CZE
87,201603,1,TUR
88,201605,1,CHE
89,201812,2,IRN
90,201606,3,EUR
91,202005,1,DEU
92,201906,6,
93,201708,2,
94,201512,1,HUN
95,201810,1,EUR
96,201705,1,DEU
97,201503,4,POL
98,201807,3,
99,201606,1,TUR
100,201711,8,
101,201701,7,
102,201808,1,UKR
103,201910,1,GBR
104,202005,3,
105,201709,13,
106,201510,7,
107,201503,1,RUS
108,201906,1,UKR
109,202012,1,GBR
110,201703,1,ITA
111,201805,2,USA
112,201802,1,MKD
113,201703,5,GBR
114,201604,1,HUN
115,202006,11,
116,201710,1,TUR
117,201902,1,RUS
118,201506,1,CAN
119,201703,5,EUR
120,201608,1,BGR
121,201804,1,NLD
122,201612,1,POL
123,201611,9,
124,201601,1,HUN
125,201905,3,
126,201606,1,CHN
127,201804,1,FRA
128,201903,2,ESP
129,201605,3,EUR
130,201712,1,HUN
131,201707,1,ITA
132,201701,1,FRA
133,201707,14,
134,201912,6,
135,201802,1,ISR
136,201511,1,AFR
137,201712,1,USA
138,201909,2,EUR
139,201704,4,BGR
140,201506,1,BGR
141,201607,1,ALB
142,201907,2,USA
143,201606,5,MKD
144,201509,2,USA
145,201601,1,POL
146,201901,2,
147,201804,1,ESP
148,201906,1,KOR
149,201606,1,CHE
150,201606,1,FRA
151,201903,2,RUS
152,201809,1,LTU
153,201606,15,
154,201511,1,POL
155,201908,1,RUS
156,202011,1,
157,201703,7,
158,201812,1,FRA
159,201703,1,UKR
160,201509,16,
161,201503,3,
162,201704,1,CHN
163,201701,1,EUR
164,201705,9,
165,201902,1,USA
166,201703,3,BGR
167,201805,8,
168,201503,1,DEU
169,201506,2,USA
170,201811,1,ARM
171,201910,1,AFR
172,201703,1,USA
173,201610,8,
174,201507,9,
175,201909,1,RUS
176,201812,1,BEL
177,201505,6,
178,201906,1,POL
179,201512,1,LTU
180,201603,9,
181,201703,2,MKD
182,201804,2,POL
183,201601,12,
184,201903,3,IRL
185,201605,1,USA
186,201902,7,
187,202002,7,
188,201811,2,
189,201709,1,USA
190,201909,3,
191,202012,1,EUR
192,201603,1,RUS
193,201508,5,
194,201809,6,USA
195,201704,2,MDA
196,201708,1,WST
197,201809,1,EUR
198,201512,5,
199,201908,3,
200,201910,3,EUR
201,201701,2,POL
202,201606,1,USA
203,201704,7,
204,201612,1,DEU
205,201507,2,WST
206,201512,3,EUR
207,201609,1,CHN
208,201912,2,EUR
209,201512,1,SVK
210,201811,1,HUN
211,201708,4,POL
212,201812,1,EUR
213,201706,3,DEU
214,201611,1,TUN
215,201503,1,TWN
216,201703,1,POL
217,201707,2,CHN
218,201505,1,EUR
219,201707,2,EUR
220,201903,2,
221,201702,18,
222,201708,1,EUR
223,201506,8,
224,201601,1,WST
225,201601,2,EUR
226,201509,1,POL
227,201605,1,WST
228,201706,4,POL
229,201602,1,TUR
230,202009,3,
231,201905,1,ITA
232,201707,4,POL
233,201809,4,
234,201907,4,
235,201511,14,
236,201607,1,DEU
237,201801,5,
238,201502,2,UKR
239,202012,1,DEU
240,201606,1,DEU
241,201612,1,HUN
242,201704,2,GBR
243,201803,10,
244,201812,1,GBR
245,201607,1,POL
246,201510,1,EUR
247,201612,11,
248,201602,1,MKD
249,201708,1,RUS
250,201610,1,RUS
251,201705,1,POL
252,201810,1,USA
253,201806,1,EUR
254,201508,1,CZE
255,202012,6,
256,202001,2,CHL
257,201705,2,EUR
258,201711,2,GBR
259,201506,3,GRC
