,MonthYear,Count,Actor2CountryCode
0,202005,18,UKR
1,202007,3,ALB
2,201907,94,USA
3,201608,136,POL
4,201608,119,UKR
5,201704,13,BGR
6,201704,63,RUS
7,201708,14,LTU
8,201706,16,ITA
9,201609,56,CZE
10,201707,1,MDA
11,201612,27,ALB
12,201707,2,AUT
13,201612,1,CHL
14,201701,1,HRV
15,201511,110,EUR
16,201707,5,LBY
17,201803,3,NLD
18,201605,40,GRC
19,201506,47,BGR
20,201604,127,POL
21,201710,4,AUS
22,201511,6,SRB
23,201604,8,AFR
24,201911,110,USA
25,201507,2,CHN
26,201801,78,ISR
27,201908,7,BLR
28,201601,8,LTU
29,201901,32,FRA
30,201509,2,MNG
31,201505,2,NPL
32,201905,13,GBR
33,201508,1,BLZ
34,201607,211,UKR
35,201606,30,MKD
36,201607,7,SWE
37,201902,33,SVK
38,201607,1,ISL
39,201608,7,PAN
40,201902,21,CHN
41,201508,1,COL
42,201510,1,DOM
43,201905,4,IRL
44,201906,2,SWE
45,202011,1,GBR
46,201907,2,BHR
47,201904,4,PAK
48,201502,1,LBN
49,201607,3,ALB
50,201505,1,CUB
51,201905,1,ESP
52,202008,13,HUN
53,202009,8,SVK
54,201704,6,LTU
55,201703,41,RUS
56,201609,17,BGR
57,201609,3,IND
58,201707,56,HRV
59,201612,6,NZL
60,201705,19,TUR
61,201608,2,LKA
62,201707,4,DNK
63,201509,10,ISR
64,201801,4,MDA
65,201710,963,
66,201710,3,TWN
67,201711,1,NOR
68,201802,10,CZE
69,201802,2,DOM
70,201712,39,RUS
71,201801,4,MWI
72,201804,1,JPN
73,201712,2,PHL
74,201508,39,EST
75,201910,707,
76,201502,10,EUR
77,201808,105,USA
78,201605,14,FRA
79,201908,6,TWN
80,201910,1,BGR
81,201811,14,IDN
82,201909,5,CZE
83,201812,34,DNK
84,201606,4,PHL
85,201908,4,SVK
86,201908,3,OMN
87,201902,1,UGA
88,201605,5,ITA
89,201906,2,BHR
90,201907,1,AUT
91,201907,2,NLD
92,202003,3,COL
93,201710,3,SWE
94,201901,2,MDA
95,202002,2,MKD
96,202012,1,MDA
97,202002,2,BGD
98,202003,2,HRV
99,202004,27,RUS
100,202006,3,AUS
101,202007,1,AZE
102,202007,3,NGA
103,202008,33,CZE
104,202009,3,NLD
105,202009,27,UKR
106,201608,42,USA
107,201708,10,CHN
108,201708,2,LVA
109,201610,27,DEU
110,201609,29,FRA
111,201703,59,HUN
112,201703,8,BLR
113,201705,22,SGP
114,201608,1,LUX
115,201711,2,PAN
116,201709,75,DEU
117,201611,1,MLT
118,201802,29,GBR
119,201803,11,IRL
120,201803,26,LUX
121,201710,2,IRL
122,201609,9,CAN
123,201701,1,COL
124,201602,111,POL
125,201512,28,LVA
126,201710,1,KAZ
127,201711,2,HRV
128,201506,65,EUR
129,201507,3,PER
130,201507,1,AFR
131,201812,2,ARM
132,201512,14,WST
133,201808,8,HUN
134,201807,41,RUS
135,201809,1,VAT
136,202001,17,GBR
137,202001,3,EST
138,201510,10,ITA
139,201510,5,JPN
140,201504,2,ETH
141,201503,1,OMN
142,201508,6,ARM
143,201809,2,SSD
144,201601,1,SYR
145,201807,2,ARG
146,201903,2,ALB
147,201504,3,AUT
148,201807,3,MKD
149,201903,7,JPN
150,201510,2,GRC
151,201607,1,VNM
152,201607,2,PAK
153,201512,3,MAR
154,201810,2,AGO
155,201810,1,VEN
156,201809,4,VNM
157,201909,1,MAR
158,202002,2,CHE
159,201803,1,NMR
160,201906,3,AFR
161,202009,3,AUT
162,202001,1,LBY
163,201503,1,SAU
164,201810,12,TZA
165,201810,1,AUT
166,201904,2,AZE
167,201508,2,MCO
168,201905,1,JOR
169,201910,2,AUS
170,201605,4,LVA
171,202006,19,LTU
172,202008,37,EUR
173,202009,41,LTU
174,201704,4,MAR
175,201706,39,RUS
