,MonthYear,Count,Actor2CountryCode
0,202004,9,UKR
1,202008,1,BEL
2,202007,2,WST
3,201805,6,SVK
4,201810,3,CHE
5,201506,10,BEL
6,201902,6,WST
7,201804,14,HUN
8,201602,21,UKR
9,202003,1,IDN
10,201711,3,EGY
11,201909,2,BRA
12,201801,38,UKR
13,201706,3,BLR
14,201505,6,ESP
15,201612,1,CHN
16,201610,1,DNK
17,201807,2,SYR
18,201807,20,DEU
19,201805,2,AUS
20,201909,2,LTU
21,201904,3,WST
22,201806,24,USA
23,201806,13,BEL
24,201510,1,AGO
25,201710,5,BGR
26,201609,1,SWE
27,201704,1,AUS
28,201604,1,AUS
29,201603,1,PRK
30,201910,5,LUX
31,201709,1,GRC
32,201910,3,CYP
33,201902,1,MEX
34,201804,1,NGA
35,201801,1,PAK
36,201811,2,TWN
37,201909,3,DNK
38,201706,1,KEN
39,202005,6,UKR
40,202007,1,ALB
41,201511,65,EUR
42,201612,1,CHL
43,201612,12,ALB
44,201605,18,GRC
45,201601,3,LTU
46,201902,10,SVK
47,201902,2,CHN
48,201609,23,CZE
49,201907,32,USA
50,201908,4,BLR
51,201905,7,GBR
52,201604,25,POL
53,201901,11,FRA
54,201911,54,USA
55,201704,31,RUS
56,201506,15,BGR
57,202011,1,GBR
58,201708,5,LTU
59,201706,9,ITA
60,201608,2,PAN
61,201505,1,CUB
62,201604,1,AFR
63,201707,1,LBY
64,201606,15,MKD
65,201803,1,NLD
66,201508,1,BLZ
67,201608,55,UKR
68,201607,93,UKR
69,201607,4,SWE
70,201510,1,DOM
71,201511,2,SRB
72,201710,1,AUS
73,201704,12,BGR
74,201608,28,POL
75,201607,2,ALB
76,201505,1,NPL
77,201509,1,MNG
78,201801,25,ISR
79,201905,1,IRL
80,201905,1,ESP
81,201904,1,PAK
82,201508,1,COL
83,202006,2,HUN
84,202008,4,THA
85,201805,3,DNK
86,201802,1,NOR
87,201612,1,PRT
88,201611,4,SWE
89,201804,10,TUR
90,201804,8,GBR
91,201609,24,USA
92,201901,25,ITA
93,201808,2,BLR
94,201806,536,
95,201911,2,ITA
96,201611,2,AUT
97,201802,2,SGP
98,201903,1,MEX
99,201801,5,GBR
100,201706,6,CHN
101,201508,1,UZB
102,201904,7,ITA
103,201601,1,SWE
104,201805,2,WST
105,201606,10,IDN
106,201704,1,IRN
107,202001,1,ZAF
108,202002,15,EUR
109,201812,5,ITA
110,201710,1,PRK
