,MonthYear,Count,Actor2CountryCode
0,202005,1,CHN
1,201704,1,EUR
2,201702,1,DZA
3,201904,29,
4,201510,3,GBR
5,201809,2,ITA
6,201805,1,ALB
7,201711,1,EUR
8,201509,1,IRQ
9,202011,2,USA
10,201608,1,CZE
11,201512,1,MLI
12,201702,4,USA
13,201705,3,SOM
14,201709,1,SRB
15,201506,16,DEU
16,201710,2,EUR
17,201509,2,EUR
18,201604,1,GBR
19,201802,2,VEN
20,201703,1,WST
21,201705,1,LBY
22,201508,2,AUT
23,201812,2,MAR
24,201906,2,MKD
25,201903,1,USA
26,202004,2,FRA
27,201612,5,IRL
28,201704,1,ARG
29,201801,9,DEU
30,201805,3,UKR
31,201611,1,JOR
32,201709,1,BEL
33,201811,8,FRA
34,201703,1,SAU
35,201701,4,DEU
36,201806,5,FRA
37,201904,1,FRA
38,202005,1,FRA
39,201612,4,BEL
40,201805,2,FRA
41,201801,2,USA
42,201604,1,BEL
43,202005,1,MLT
44,201711,1,IRQ
45,201905,1,USA
46,202005,2,EUR
47,201711,2,BLR
48,201702,3,EUR
49,201601,2,IRN
50,201510,3,FRA
51,201911,14,
52,201607,5,GBR
53,201703,3,SYR
54,201712,3,DEU
55,201901,2,CHN
56,201709,1,BGR
57,202001,6,
58,201605,1,CAN
59,201807,1,AFR
60,201610,8,DEU
61,201701,1,COL
62,201709,4,DEU
63,201609,4,FRA
64,201506,3,EUR
65,201802,2,GBR
66,201507,1,AFR
67,201609,1,CAN
68,201503,1,OMN
69,201809,1,KWT
70,201510,1,ITA
71,201510,1,GRC
72,202004,1,RUS
73,201805,1,VAT
74,202001,1,GBR
75,201807,5,RUS
76,201608,1,TUR
77,201703,2,GBR
78,201609,1,UKR
79,201611,1,SYR
80,201705,1,AFR
81,201512,3,TUR
82,201508,2,UKR
83,201505,2,FRA
84,201908,2,AUS
85,201912,1,CIV
86,201806,1,UKR
87,201905,1,IRN
88,201703,7,RUS
89,201605,1,ITA
90,201710,21,
91,201705,6,TUR
92,201711,1,COD
93,201605,3,FRA
94,201508,1,KOR
95,202010,1,CAN
96,201910,7,
97,201903,1,MKD
98,201706,7,RUS
99,201706,1,ARG
100,201706,1,UKR
101,201508,4,GRC
102,201807,1,IRQ
103,201805,2,BEL
104,201504,1,ARM
105,201802,1,CAN
106,201610,1,UGA
107,201911,2,RUS
108,201805,4,RUS
109,201802,37,
110,201712,2,FRA
111,201611,8,DEU
112,201607,1,ITA
113,201504,1,RUS
114,201907,1,AFR
115,201503,1,NLD
116,202006,3,DEU
117,202009,1,SWE
118,201706,1,MKD
119,201610,2,TUR
120,201711,2,BEL
121,201706,1,AFR
122,201609,1,AFR
123,201808,2,FRA
124,201907,1,DEU
125,201910,1,AFG
126,201909,1,GRC
127,201606,1,USA
128,201812,1,NLD
129,202004,1,ISL
130,202008,1,CAN
131,201801,1,GRC
132,201710,1,FRA
133,201510,4,USA
134,201604,1,SYR
135,201908,2,PRT
136,201806,2,AUT
137,201706,1,ITA
138,201610,2,NER
139,201507,1,CHN
140,201605,1,GRC
141,201911,1,USA
142,202011,2,GBR
143,201608,2,UKR
144,201908,1,PSE
145,201905,1,GBR
146,201606,1,TGO
147,201802,2,UKR
148,201901,1,GRC
149,201904,1,IRN
150,201611,38,
151,201906,1,FRA
152,201606,2,PER
153,201905,11,
154,201606,2,ALB
155,201807,3,DEU
156,201505,1,ESP
157,201602,2,UKR
158,201806,1,BEL
159,201902,1,WST
160,202004,1,UKR
161,202008,2,FRA
162,201708,2,VEN
163,201608,3,DEU
164,201610,2,IRN
165,201803,2,RUS
166,201701,1,UKR
167,201509,1,CYP
168,201602,1,IRQ
169,201901,16,
170,201509,1,USA
171,201905,4,EUR
172,201711,2,TUR
173,201812,1,MRT
174,201911,1,UKR
175,202012,1,ITA
176,201610,1,EUR
177,201609,1,GBR
178,201707,5,RUS
179,201509,1,SYR
180,201709,1,QAT
181,201610,1,AFR
182,201901,2,EUR
183,202006,2,PRT
184,201707,6,FRA
185,201612,3,GRC
186,201605,1,UKR
187,201601,2,DEU
188,201506,2,UKR
189,202002,1,IRN
190,202002,1,MAR
191,201611,1,PER
192,201605,2,SYR
193,202004,19,
194,201608,31,
195,201703,1,ARG
196,201703,4,EGY
197,201707,2,TUR
198,201712,27,
199,201509,2,TUR
200,201904,1,SAU
201,201612,1,RUS
202,201504,2,NLD
203,201602,1,BLR
204,201911,1,FRA
205,201504,1,IRN
206,201605,1,ARG
207,202007,1,CHN
208,201706,4,GBR
209,201708,1,USA
210,201609,2,DEU
211,201701,1,AUS
212,201705,7,DEU
213,201707,1,JPN
214,201702,2,WST
215,201506,2,QAT
216,201807,27,
217,201509,1,UKR
218,201601,1,MKD
219,202001,3,GRC
220,201606,1,TUR
221,201810,1,RUS
222,201706,1,CAN
223,201611,1,NLD
224,201604,23,
225,201511,1,TUR
226,201510,4,RUS
227,202010,5,
228,201706,1,GRC
229,201508,18,
230,201602,1,CUB
231,201604,2,PAN
232,202002,1,NOR
233,201504,1,NOR
234,201812,1,DZA
235,201810,2,DEU
236,201810,2,TUR
237,201612,2,ITA
238,201608,1,ITA
239,201711,1,USA
240,201804,1,IRN
241,201802,1,CHE
242,201607,43,
243,201604,1,EUR
244,201903,2,SAU
245,201701,2,EUR
246,201705,43,
247,201705,6,FRA
248,201711,1,IRL
249,201507,1,USA
250,201605,1,TUN
251,201808,13,DEU
252,201509,1,CHL
253,201908,2,USA
254,201902,1,USA
255,201703,11,DEU
256,201609,2,COL
257,201705,5,USA
258,201803,2,USA
259,201510,4,CHN
260,201601,2,TUR
261,201708,1,EGY
262,201808,1,GRC
263,201602,1,USA
264,201505,2,UKR
265,201810,1,IRQ
266,201607,1,PRT
267,202003,1,ITA
268,201605,1,DEU
269,201703,2,FRA
270,201706,33,
271,201605,36,
272,201604,3,TUR
273,201505,2,USA
274,201804,2,USA
275,201607,9,EUR
276,201511,1,ISR
277,201509,2,FRA
278,201902,2,DEU
279,201901,1,JPN
280,201508,4,DEU
281,201603,5,EUR
282,201507,2,CHE
283,201905,1,COG
284,201710,4,DEU
285,201801,2,FRA
286,201512,1,FRA
287,201809,4,SYR
288,201502,4,GRC
289,201605,1,GBR
290,201701,1,EGY
291,201908,3,FRA
292,201902,2,GBR
293,202003,6,
294,201709,3,USA
295,201710,2,FJI
296,201711,1,ISL
297,201507,3,EUR
298,201601,22,
299,201605,1,USA
300,201902,11,
301,201811,8,
302,201604,1,LVA
303,202002,11,
304,201702,1,URY
305,201806,1,RUS
306,201903,3,IRL
307,201605,1,ARM
308,201703,1,TUN
309,201603,1,TUR
310,201606,1,EUR
311,202001,1,EUR
312,202001,1,FRA
313,201810,1,IRL
314,202007,8,
315,202008,5,
316,201706,1,JPN
317,201803,2,DEU
318,201504,1,GRC
319,201507,7,IRN
320,201607,1,IRL
321,201709,2,UKR
322,201506,3,FRA
323,201603,1,CHL
324,201606,1,URY
325,201806,1,MDV
326,201807,1,IRL
327,201611,1,PAN
328,201701,1,RUS
329,201604,1,NIC
330,201507,3,GBR
331,201606,1,ISR
332,202001,1,AUT
333,202009,8,
334,201702,2,ITA
335,201512,1,USA
336,201601,2,GBR
337,201502,2,
338,201912,3,FRA
339,201804,8,DEU
340,201910,1,MLI
341,201810,3,SAU
342,201810,4,FRA
343,201512,8,
344,201608,1,SWE
345,201508,1,MKD
346,201705,1,WST
347,201908,15,
348,201908,2,LUX
349,201910,1,EUR
350,201905,3,IRQ
351,202009,2,DEU
352,201703,2,POL
353,201706,3,DEU
354,201701,4,USA
355,201712,1,AFG
356,201912,1,GBR
357,201808,2,AUT
358,201506,1,IRN
359,201802,1,SYR
360,201701,1,LTU
361,201709,1,BLR
362,201709,1,CAN
363,201702,4,DEU
364,201702,1,BEL
365,201506,1,AUS
366,202001,3,BEL
367,202012,10,
368,201908,3,EUR
369,201704,1,SWE
370,201609,3,EUR
371,201611,1,AFR
372,201604,1,LBY
373,201908,1,ITA
374,201812,1,SWE
375,201707,29,
376,201707,1,KOR
377,201805,1,SYR
378,201504,1,NPL
379,201503,1,TUR
380,201912,4,
381,201806,1,IRN
382,202005,1,CAN
383,201707,4,USA
384,201509,4,AUT
385,201808,14,
386,201605,1,JPN
387,201503,2,UKR
388,201804,1,AUT
389,201508,2,BRA
390,201809,1,TUR
391,201704,28,
392,201608,1,BLR
393,201612,1,EGY
394,201510,1,ISL
395,201804,1,GRC
396,201612,1,DEU
397,201503,3,IRN
398,201506,1,AUT
399,201512,1,CHN
400,201611,1,CRI
401,201610,29,
402,201602,4,SYR
403,201507,21,
404,201504,1,USA
405,201506,2,NOR
406,201909,1,RUS
