,MonthYear,Count,Actor2CountryCode
0,202004,57,CZE
1,202005,3,LBN
2,202006,90,TUR
3,202006,5,PRK
4,202008,226,SYR
5,202008,1,SEN
6,202008,3,NIC
7,201611,162,DEU
8,201704,8,IRL
9,201703,11,SVK
10,201703,8,PAK
11,201802,6407,
12,201805,1324,RUS
13,201709,38,AZE
14,201711,15,YEM
15,201712,17,FRA
16,201612,793,USA
17,201803,8,BEL
18,201603,20,TKM
19,201510,993,UKR
20,201504,877,RUS
21,201608,36,LBY
22,201702,1,JAM
23,201512,16,ITA
24,201509,3,SVK
25,201604,11,KOR
26,201612,10,NLD
27,201507,89,TUR
28,201709,12,VNM
29,201709,1,DZA
30,201510,30,BLR
31,201504,21,AFG
32,201805,4,SGP
33,201711,21,KOR
34,201503,21,NLD
35,201705,13,JOR
36,201711,3,LBY
37,201502,21,ARM
38,201511,19,IDN
39,201610,4,PHL
40,201602,6,MEX
41,201607,9,ITA
42,201509,7,KWT
43,201709,1,CYP
44,201509,2,ISL
45,201502,5,HUN
46,201503,10,TUN
47,201704,3,BOL
48,201511,8,SWE
49,201710,5,LTU
50,201502,2,PAK
51,201612,2,KHM
52,201711,1,AGO
53,201503,5,IRL
54,201804,2,PER
55,201603,1,LKA
56,201604,2,IRL
57,201807,1,SRB
58,201807,10,LVA
59,201807,14,LTU
60,201807,15,YEM
61,201903,6,CAN
62,201810,9,DNK
63,201808,6,NGA
64,201906,4,VNM
65,201906,3,CAF
66,201909,35,MYS
67,201907,27,ITA
68,202011,3,CZE
69,201912,2,ARG
70,201811,2,KEN
71,202012,19,WST
72,202012,19,ISR
73,202001,7,AUS
74,201906,2,NGA
75,201911,1,ALB
76,201902,2,GIN
77,201905,5,MYS
78,202004,1,LUX
79,202010,2,AFR
80,201912,1,LUX
81,201806,1,BGD
82,202004,1,COL
83,202004,63,EUR
84,202005,15,HUN
85,202006,10,LBN
86,202006,3,IRL
87,202008,5,BRA
88,202009,10,CZE
89,201702,604,USA
