,MonthYear,Count,Actor2CountryCode
0,202006,1,TUR
1,201802,32,
2,201709,2,ECU
3,201805,2,RUS
4,201612,12,USA
5,201510,1,BLR
6,201602,3,MEX
7,201807,1,SRB
8,201504,1,RUS
9,201711,1,KOR
10,201703,1,PAK
11,201804,3,PER
12,202005,2,CHN
13,201702,2,BLR
14,201904,27,
15,201508,3,SYR
16,201510,1,GBR
17,201812,2,QAT
18,201906,2,SAU
19,201605,1,IRN
20,201608,1,CZE
21,201606,2,IRN
22,201511,5,IRN
23,201802,2,IRN
24,201802,1,UKR
25,201905,1,SRB
26,201912,1,PAK
27,201610,4,TUR
28,201905,2,VEN
29,201904,1,CHE
30,201909,1,POL
31,202005,2,LBY
32,201901,1,BRA
33,202012,1,RUS
34,201606,1,USA
35,201606,1,BEL
36,201608,1,CUB
37,201707,13,SYR
38,201706,5,RUS
39,201703,1,PRK
40,201809,1,AFG
41,201706,2,UKR
42,201603,1,BLR
43,201706,2,IRN
44,201711,18,EGY
45,201807,3,SYR
46,201602,3,UKR
47,201708,3,IRN
48,201806,2,USA
49,201706,1,BLR
50,201807,3,DEU
51,201612,1,CHN
52,201905,2,AFG
53,201904,2,WST
54,201806,1,BEL
55,201909,1,BRA
56,202005,1,EUR
57,201703,5,SYR
58,201705,1,MNG
59,201711,1,UZB
60,201504,2,FIN
61,201911,10,
62,201601,1,IRN
63,201608,4,RUS
64,202001,12,
65,201902,1,POL
66,201510,1,FRA
67,201906,1,CHN
68,201509,1,ITA
69,201803,1,CHN
70,201607,1,SEA
71,201605,1,BLR
72,201802,14,EGY
73,201703,2,WST
74,201804,1,MDA
75,201508,23,USA
76,201511,5,EGY
77,201509,2,EUR
78,201803,7,SYR
79,201506,3,DEU
80,201903,1,USA
81,201903,1,UKR
82,201808,3,SYR
83,201812,2,TKM
84,201811,1,ARG
85,202004,20,
86,201608,25,
87,201703,10,EGY
88,201610,4,UKR
89,201712,35,
90,201707,1,TUR
91,201612,7,RUS
92,201601,1,EGY
93,201906,7,RUS
94,201602,2,BLR
95,201604,1,ISR
96,201905,7,RUS
97,201511,1,LBN
98,201911,1,FRA
99,201504,1,IRN
100,201505,2,CHN
101,201508,2,FRA
102,201603,1,DEU
103,201809,7,RUS
104,201811,2,ITA
105,201805,3,PNG
106,201802,2,TUR
107,201904,2,EGY
108,201804,2,NLD
109,201703,1,EUR
110,202008,1,USA
111,201808,1,CHN
112,201512,1,AFG
113,201702,1,AZE
114,201603,1,TUR
115,201701,1,HUN
116,202001,2,DEU
117,201908,1,TUR
118,201606,5,EUR
119,201901,1,SYR
120,202005,1,FRA
121,202008,1,UKR
122,201805,1,FRA
123,201512,8,RUS
124,201912,2,SWE
125,201601,2,UKR
126,201808,3,ISR
127,201602,1,BRA
128,201705,2,ARM
129,201810,1,UZB
130,201905,2,USA
131,201801,1,USA
132,201611,7,RUS
133,201711,9,RUS
134,201803,3,RUS
135,201610,1,IRN
136,201708,1,VEN
137,201712,22,EGY
138,201509,21,USA
139,201711,4,TUR
140,201901,16,
141,201701,1,UKR
142,202003,6,TUR
143,201502,1,WST
144,201905,2,EUR
145,201911,2,UKR
146,201910,1,KOR
147,202007,2,RUS
148,201709,5,CHN
149,201508,1,IRN
150,201811,2,FRA
151,201504,1,PAK
152,201901,2,BEL
153,201712,1,KOR
154,201701,1,DEU
155,201703,1,FIN
156,201805,1,UKR
157,202008,2,RUS
158,201510,10,USA
159,201604,2,SYR
160,202012,2,UKR
161,201808,2,IRN
162,201811,9,RUS
163,202004,1,USA
164,201503,1,PRK
165,201806,2,AUT
166,201609,3,DEU
167,201807,43,
168,201704,1,LBN
169,201512,2,SYR
170,201705,6,DEU
171,201503,1,POL
172,201709,1,PER
173,201810,17,RUS
174,201805,1,KOR
175,201511,1,BLR
