,MonthYear,Count,Actor2CountryCode
0,202004,1372,
1,202005,4,KOR
2,201906,157,RUS
3,202007,1,KGZ
4,201702,3,SWE
5,201702,3,AUS
6,201608,1336,
7,201608,15,WST
8,201707,26,TUR
9,201708,7,DEU
10,201708,1,MEX
11,201708,1,NLD
12,201703,14,LBY
13,201703,46,EGY
14,201610,86,UKR
15,201703,3,KOR
16,201611,6,MLI
17,201612,208,RUS
18,201712,1285,
19,201709,2,OMN
20,201504,114,IRN
21,201708,4,QAT
22,201705,4,MKD
23,201602,55,BLR
24,201710,45,UKR
25,201509,11,TUR
26,201805,1,LVA
27,201610,1,IRL
28,201601,9,EGY
29,201604,8,ISR
30,201511,3,LBN
31,201506,3,PSE
32,201801,5,CAN
33,201711,3,HUN
34,201901,6,AFR
35,201809,11,BLR
36,201905,175,RUS
37,201709,1,ESP
38,201511,1,YEM
39,201902,17,BLR
40,201508,10,WST
41,201908,19,SYR
42,201812,29,CHN
43,201901,6,SDN
44,201907,12,MDA
45,201809,1,SGP
46,201801,1,PRT
47,201801,1,SGP
48,201801,1,GHA
49,201911,29,FRA
50,201512,2,AUS
51,201709,1,NOR
52,201502,1,CHE
53,201703,1,ARG
54,201707,1,KGZ
55,201810,9,MDA
56,201802,1,VNM
57,201809,1,TJK
58,201909,1,PAK
59,201904,1,CAN
60,202012,3,DZA
61,201807,4,KOR
62,201812,29,VEN
63,201904,1,SAU
64,201605,1,ARG
65,202005,1,CUB
66,201906,2,COL
67,201902,3,CAF
68,201808,1,ZAF
69,201905,1,GRC
70,202012,2,KOR
71,201605,2,DZA
72,202003,2,POL
73,202010,3,ESP
74,202010,1,ALB
75,202004,14,EUR
76,202008,9,BRA
77,201702,75,USA
78,201704,3,FIN
79,201703,33,WST
80,201707,3,CAN
81,201612,1,CZE
82,201801,21,EUR
83,201709,7,SRB
84,201804,14,MDA
85,201802,40,EGY
86,201803,62,SYR
87,201709,3,BFA
88,201703,2,AUS
89,201508,91,USA
90,201709,5,MEX
91,201511,156,EGY
92,201710,31,EUR
93,201506,19,DEU
94,201509,59,EUR
95,201712,3,NGA
96,201612,1,CYP
97,201506,22,TUR
98,201605,10,AZE
99,201706,1,KOR
100,201508,3,ISR
101,201808,44,SYR
102,201508,4,QAT
103,201506,2,LKA
104,201811,41,ARG
105,201811,10,MDA
106,201604,4,GBR
107,201509,5,GRC
108,201505,1,EST
109,201604,2,ESP
110,201504,5,CZE
111,201705,1,KWT
112,201907,11,AFG
113,201903,112,UKR
114,201903,57,USA
115,201509,1,CAS
116,201911,4,BRA
117,201905,5,KOR
118,201509,2,AFR
119,201805,1,MKD
120,202002,33,BLR
121,201705,1,LBY
122,201803,2,MLT
123,201902,2,IRQ
124,201811,1,BHS
125,202012,22,ARG
126,201911,2,GAB
127,201505,2,FIN
128,201910,4,PHL
129,201607,1,EST
130,201606,1,GIN
131,201509,1,HKG
132,201808,5,EGY
133,202010,1,JPN
134,202001,1,GHA
135,202010,2,POL
136,201802,1,VEN
137,201606,1,TKM
138,201812,6,TKM
139,202004,110,RUS
140,202006,1,AUS
141,202007,4,AZE
142,202008,17,PHL
143,202008,6,IRN
144,202009,16,UKR
145,202009,22,CHN
146,201704,44,AFG
147,201608,66,USA
148,201701,5,IRQ
149,201708,25,CHN
150,201703,31,BLR
151,201610,37,DEU
152,201706,1,NZL
153,201609,2,CAN
154,201609,20,FRA
155,201708,3,LVA
156,201610,2,CHL
157,201709,11,DEU
158,201803,1,LUX
159,201802,8,GBR
160,201601,59,SYR
161,201609,1,CMR
162,201510,4,GRC
163,201503,26,EGY
164,201512,17,WST
165,201510,4,ITA
166,201506,53,EUR
167,201505,1,MAR
168,201602,18,POL
169,201809,6,VNM
170,201710,8,KAZ
171,201807,207,RUS
172,201807,6,MKD
173,201808,12,FIN
174,201507,14,AFR
175,201602,2,SOM
176,201504,4,AUT
177,201510,12,JPN
178,201502,1,VEN
179,201810,7,EGY
180,201810,10,AUT
181,201812,10,ARM
182,201503,2,SAU
183,201909,1,PSE
