,Actor2CountryCode,MonthYear,Count
288,DOM,202003,1
289,FJI,202011,5
290,TZA,201806,6
291,TKM,201902,16
292,NER,202011,2
293,BLZ,201812,1
294,KGZ,202012,1
295,YEM,201912,2
296,KWT,201905,2
297,SVK,201905,2
298,PER,202004,29
299,HRV,202004,1
300,ARG,202004,16
301,ETH,202005,8
302,TUR,201905,57
303,AZE,202006,14
304,LBR,202007,4
305,MDA,202008,4
306,TGO,202008,4
307,ECU,202008,5
308,ARG,202008,14
309,NGA,202009,44
310,ZMB,202009,3
311,AUS,201909,364
312,BWA,202009,1
313,UKR,201703,161
314,VNM,201611,591
315,AFR,201608,933
316,CHN,201607,3097
317,ESP,201608,75
318,MLI,201610,39
319,SAU,201609,430
320,ESP,201704,251
321,GBR,201702,639
322,KWT,201702,22
323,SYR,201602,66
324,BHR,201701,25
325,SVK,201704,12
326,MCO,201609,9
327,PNG,201609,34
328,BTN,201609,16
329,COD,201611,4
330,UKR,201612,287
331,OMN,201612,11
332,MWI,201707,9
333,SOM,201611,23
334,KHM,201705,56
335,PSE,201705,70
336,ZAF,201705,24
337,AFR,201705,146
338,DZA,201703,4
339,DOM,201709,3
340,KOR,201711,2676
341,ALB,201805,17
342,TUN,201711,22
343,LVA,201705,19
344,NLD,201804,36
345,ARE,201503,29
346,USA,201506,3988
347,CAN,201512,246
348,SGP,201507,164
349,VNM,201504,344
350,UGA,201801,10
351,HUN,201612,14
352,KOR,201802,1089
353,PHL,201802,267
354,BRN,201802,72
355,ITA,201802,146
356,NPL,201807,24
357,BGD,201512,104
358,UZB,201703,5
359,PLW,201703,2
360,AUS,201710,399
361,IDN,201710,300
362,ARG,201712,52
363,NZL,201512,181
364,MEX,201503,115
365,KHM,201907,37
366,COD,201907,18
367,LBY,201602,16
368,BRN,201512,87
369,BRN,201604,93
370,SEA,201503,204
371,ZMB,201610,4
372,FJI,201804,14
373,NZL,201811,200
374,GHA,201806,31
375,GUY,201807,5
376,SEN,201607,5
377,IRL,201904,42
378,FRA,201901,1048
379,SEA,201901,51
380,URY,201911,5
381,HTI,201810,8
382,ASA,201509,7
383,PER,201512,49
384,USA,201902,3001
385,ETH,201902,4
386,KHM,201902,89
387,SVK,201902,4
388,AFG,201606,18
389,MMR,201903,22
390,CHE,201710,52
391,THA,201909,265
392,GIN,201909,10
393,SAS,201604,12
394,ATG,201503,1
395,TZA,201712,7
396,NLD,201808,78
397,KHM,201910,102
398,CHE,201910,44
399,MDA,201910,16
400,MMR,201808,142
401,KAZ,201906,21
402,FSM,201604,6
403,IRN,202002,202
404,PER,202002,24
405,BWA,201601,2
406,VAT,201910,19
407,URY,201802,7
408,ETH,201506,8
409,IND,201809,102
410,BHS,201710,3
411,NLD,201905,38
412,VCT,201706,1
413,BLZ,201809,6
414,JAM,201607,34
415,SLE,201903,3
416,LBR,201504,4
417,LVA,201810,14
418,AGO,201805,3
419,SAU,201912,94
420,SRB,201912,2
421,WSM,201912,10
422,DJI,201912,12
423,TON,201807,1
424,TCD,201810,4
425,SOM,201510,2
426,SOM,201606,12
427,AFR,202010,35
428,SRB,202010,1
429,EGY,202003,30
430,YEM,201811,1
431,HTI,201811,2
432,ABW,202012,1
433,BGR,202001,11
434,HND,201909,3
435,ZMB,202002,4
436,MUS,202003,1
437,HUN,202003,7
438,DZA,202011,5
