,Actor2CountryCode,MonthYear,Count
288,DJI,201512,43
289,CPV,201506,15
290,LCA,201504,18
291,LAO,201504,10
292,AIA,201603,7
293,SYC,201502,3
294,IDN,201501,1
295,CMR,201501,1
296,MLI,201502,3
297,NIC,201512,3
298,MEA,201602,4
299,THA,201808,215
300,SRB,201808,71
301,PAN,201808,17
302,ZWE,201808,477
303,CYP,201901,102
304,SAU,201901,350
305,YEM,201901,165
306,PRY,201504,2
307,POL,201811,389
308,BMU,201811,56
309,CAN,201810,1431
310,CYM,201810,65
311,NAM,202005,6
312,MLT,201906,71
313,LBR,201906,10
314,PNG,201907,26
315,LVA,201812,53
316,MEA,201604,6
317,BLZ,201904,33
318,BTN,201904,6
319,LBR,201907,30
320,AFR,201903,524
321,EGY,201902,593
322,MMR,201910,27
323,KWT,201910,52
324,UKR,201910,452
325,DZA,201905,42
326,SLB,202004,1
327,TUV,201605,5
328,BRN,201807,7
329,KHM,201809,49
330,MMR,201809,325
331,LIE,201809,15
332,BLZ,201809,38
333,NER,201809,13
334,VEN,201909,80
335,OMN,201912,219
336,AFG,201912,122
337,DOM,201912,20
338,PAN,201908,9
339,QAT,201911,173
340,VNM,202011,105
341,FIN,202002,73
342,COM,201907,1
343,KGZ,201812,7
344,MUS,201812,61
345,DOM,201809,6
346,LBR,201806,21
347,BRN,201811,10
348,MKD,201905,66
349,BEN,201905,6
350,HRV,202010,21
351,DJI,202003,1
352,STP,202003,1
353,KGZ,202001,12
354,CIV,202010,6
355,BRA,202004,232
356,AUS,202004,1161
357,COL,202004,34
358,VAT,202003,34
359,CAN,202005,1291
360,COL,202005,23
361,ITA,202006,856
362,EGY,202006,253
363,ESP,201908,838
364,GHA,201907,234
365,CHN,201908,3786
366,MAR,202008,43
367,MOZ,202008,2
368,ERI,202008,6
369,,201909,98892
370,EGY,202009,216
371,GAB,202009,6
372,DEU,201909,1932
373,DMA,202009,17
374,ESP,201709,1235
375,SYR,201609,3395
376,ARE,201710,611
377,CHN,201801,2040
378,NAM,201801,7
379,LBR,201703,33
380,WST,201711,83
381,RUS,201712,3355
382,SLB,201802,4
383,DJI,201802,14
384,IND,201611,688
385,UKR,201608,448
386,NGA,201608,707
387,GIN,201608,22
388,AFG,201512,1505
389,MEX,201611,277
390,COL,201610,315
391,CMR,201610,53
392,TWN,201610,65
393,BOL,201610,28
394,MDA,201610,51
395,BWA,201702,125
396,IRL,201602,1960
397,SDN,201703,140
398,KEN,201708,510
399,COD,201708,15
400,BLZ,201708,8
401,EUR,201707,4477
402,EGY,201704,625
403,GAB,201704,3
404,CAN,201704,1663
405,DZA,201710,72
406,ESP,201706,1523
407,GHA,201706,223
408,ISR,201706,756
409,SWZ,201706,2
410,COG,201706,6
411,HND,201610,11
412,KAZ,201608,46
413,BEN,201805,45
414,MNG,201602,12
415,BEL,201601,699
416,AGO,201701,15
417,URY,201712,90
418,SDN,201603,176
419,MOZ,201703,29
420,AND,201703,4
421,SEA,201708,19
422,SLB,201708,8
423,CIV,201608,16
424,SAU,201510,1849
425,DOM,201710,23
426,BRB,201705,27
427,BLR,201706,22
428,NLD,201707,418
429,BDI,201701,18
430,ZAF,201606,317
431,FJI,201606,32
432,LBR,201712,20
433,JOR,201512,261
434,KWT,201601,152
435,MLI,201607,36
436,MEA,201802,5
437,GAB,201711,1
438,CAN,201806,2257
439,VCT,201806,8
