,MonthYear,Count,Actor2CountryCode
0,202005,2,EGY
1,202006,5,MLT
2,202009,53,GBR
3,202009,3,SRB
4,202004,2,QAT
5,201611,28,NLD
6,201611,10,AFG
7,201611,62,GBR
8,201611,2,SGP
9,201704,1,NZL
10,201604,1806,
11,201704,17,SYR
12,201704,1,UGA
13,201610,7,KOR
14,201706,17,CAN
15,201610,3,MKD
16,201707,1,MWI
17,201612,13,JPN
18,201705,14,EGY
19,201706,2,BGR
20,201702,3,DNK
21,201702,5,IND
22,201805,9,JPN
23,201608,4,BRA
24,201702,6,MLT
25,201803,5,CHE
26,201803,5,ZWE
27,201705,1,VAT
28,201709,1,IDN
29,201511,47,TUR
30,201709,4,AIA
31,201510,102,RUS
32,201509,10,EGY
33,201805,2,ARE
34,201512,1,BGD
35,201602,2,COG
36,201711,1,LUX
37,201612,3,AZE
38,201802,1,ZAF
39,201502,3,SWE
40,201603,6,CZE
41,201603,36,BEL
42,201704,2,MLI
43,201602,33,BEL
44,201807,6,CHE
45,201505,1,DZA
46,201502,3,MDA
47,201507,1,UZB
48,201702,1,BOL
49,201702,4,KOR
50,201809,1,BHR
51,201801,3,PSE
52,201512,2,THA
53,201507,3,KOR
54,201810,7,CAN
55,201901,12,IRN
56,201601,1,TKM
57,201809,1,PRK
58,202002,44,USA
59,201509,1,GTM
60,201803,2,AZE
61,201902,7,ECU
62,202002,2,SAU
63,201909,5,AFG
64,201611,1,THA
65,201605,3,DNK
66,201705,7,MLT
67,202010,654,
68,202011,2,SGP
69,202010,41,EUR
70,202009,2,COL
71,201805,8,AFG
72,201712,1,AGO
73,201712,3,CAN
74,201903,1,ZWE
75,201812,2,LBY
76,201909,1,BHR
77,201910,1,YEM
78,201910,1,AIA
79,201704,2,ALB
80,201606,5,VEN
81,201808,2,AIA
82,201805,1,ECU
83,201905,1,MCO
84,201804,1,LUX
85,201607,1,DJI
86,201606,1,MDA
87,202004,59,EUR
88,202006,1,IRL
89,202009,8,CZE
90,201611,3,SDN
91,201702,157,USA
92,201707,15,CAN
93,201704,2,FIN
94,201706,5,KOR
95,201703,32,WST
96,201604,96,GBR
97,201610,1,WAF
98,201612,6,CZE
99,201703,3,ALB
100,201703,4,AUS
101,201705,23,SOM
102,201705,12,BGR
103,201612,4,CYP
104,201705,28,LBY
105,201801,60,EUR
106,201803,13,SYR
107,201508,113,USA
108,201509,171,EUR
109,201506,308,DEU
110,201805,3,MKD
111,201508,4,ISR
112,201504,17,CZE
113,201604,27,ESP
114,201509,31,GRC
115,201702,5,BGD
116,201710,73,EUR
117,201709,11,SRB
118,201503,1,COM
119,201510,3,THA
120,201508,24,AUT
121,201511,2,EGY
122,201602,3,BOL
123,201508,3,ERI
124,201903,56,USA
125,201812,7,MAR
126,201509,3,AFR
127,201811,29,ARG
128,201505,5,FIN
129,201808,37,SYR
130,201502,3,SAU
131,201908,1,MLT
132,201611,1,TWN
133,201903,17,UKR
134,201506,6,TUR
135,201503,1,MDG
136,201907,12,AFG
137,201609,1,MRT
138,201702,1,ECU
139,201605,2,AZE
140,201810,4,MKD
141,201911,3,BRA
142,201906,33,MKD
143,201505,3,MLI
144,201908,18,POL
145,202012,5,BGD
146,202012,1,ARG
147,201902,1,IRQ
148,201902,3,MKD
149,201811,1,PAN
150,201509,1,HKG
151,201808,2,EGY
152,201505,3,EST
153,202002,4,BLR
154,201709,1,CMR
155,201802,9,EGY
156,201607,4,CZE
157,201607,12,EST
158,202010,8,POL
159,202001,2,GHA
160,201911,1,LBN
161,201905,1,KOR
162,201802,8,VEN
163,201703,1,PLW
164,201502,4,COD
165,201910,1,PHL
166,201909,1,ARG
167,201510,1,ECU
168,201507,1,PRY
169,202010,1,JPN
170,201804,3,IND
171,201606,1,GIN
